Owner First ,Customer Number,Last Mane,Number,Street Name,Unit,City,Postal Code,Province,Owner Phone,Alternate Phone,Pet Species,Last Renewal date,Pet Name,Pet Breed,Pet Colour,Pet Sex,Pet is fixed,Tag #,Owner Email,Expiry year,Sold By,Tag Status,Rabies Expiry,Pet Status
Maxwell,4186,Edwards,52,Real St,C,City a,X9H 6E8,ONTARIO,1-646-951-4967,,z,01-13-11,Kennan,POOGLE,No,Neutered,Neutered,8877,vitae@odiosagittissemper.edu,10-06-2016,Kaseem,,07.24.94,Removed
Lillith,1638,Talley,33,Real St,,sity A,T1M 7J7,NB,1-378-792-9331,(127) 379-5106,D,02-24-05,Ignacia,POOGLE,Tri,Mal,Neuter,7478,ullamcorper@mauris.com,06-19-2013,Oren,,02.01.05,A
Preston,8295,Mcdonald,10,Brampton Street,02-Jan,A,N0E 1N3,Ontario,771-5810,189-8166,D,03-31-01,Steel,Pom,Black,Mal,Intact,1823,nisi.a.odio@iaculis.edu,02-27-2009,Gage,,05.25.17,A
Shoshana,9784,Moran,195,Real St,,a,T0X 3N8,,(453) 275-7523,980-9212,Cat,06-29-91,India,Mix,,F,Neuter,7706,elit.pretium.et@feugiatplacerat.com,10-11-2004,Moses,,07.10.06,R
Elizabeth,6301,Burnett,158,Fance Place,,sity A,C7H 2V3,NB,(430) 732-0501,,d,07-18-96,William,Aust Shepherd,Black,Fem,No,8127,luctus.et.ultrices@idenimCurabitur.net,10-15-2004,Dara,,03.05.12,A
Faith,2202,Moon,47,Brampton Street,A,b,B1K 0N2,,1-797-720-3203,,d,2001-01-12,Wylie,Aust Shepherd,Black,D,Neutered,4145,in.faucibus@Fuscealiquetmagna.ca,01-11-2010,Brock,,01.26.08,Active
Phillip,6047,Vega,166,Real St,V,b,T5K 6N8,,472-0843,,Yes,04-21-01,Unity,Aust Shepherd,Black/tan,M,Spayed,8292,ante.ipsum@ante.ca,03-27-2015,Quemby,,05.02.18,S
Pamela,5808,Ortiz,95,Brampton Street,,B,V1E 8N2,,(167) 165-4766,593-9708,no,12-19-88,Dane,Mix,No,Neutered,Spayed,5849,ligula.Donec.luctus@nonummyutmolestie.edu,03-06-2005,Jasper,,04.10.01,S
Kennedy,6148,Pennington,50,Brampton Street,,CITY B,H7E 6E6,,168-3191,165-2803,d,03-16-99,Rama,Cat,,M,Yes,8136,tempor@magnisdis.net,12-21-2010,Octavia,,08.22.07,A
Channing,7174,Bennett,155,Brampton Street,,City a,K4M 1T0,,1-635-952-0455,(917) 114-7262,C,2008-09-18,Lyle,Terrier,Color,Spayed,Neutered,2530,Sed.eu@viverraDonec.ca,10-31-2003,Willow,,03.27.01,A
Zelenia,5032,Mooney,26,Brampton Street,,CITY A,N2J 5K0,,(422) 222-7087,,CAT,03-02-87,Jemima,Terrier,,Spayed,Neutered,9148,a@orci.edu and a@sheely.net,08-03-2009,Edward,,02.04.95,A
Thaddeus,4100,Ward,3,Real St,,cite b,B9H 3Y9,ONTARIO,1-662-141-5831,,CAT,02-17-91,Stacey,Tabby,Tan,M,Y,7073,mauris.elit@turpisIncondimentum.edu,09-27-2011,Kai,,09.25.16,Active
Zoe,2379,Parsons,157,Fance Place,,city,K1N 9Y2,Ontario,1-537-495-2779,,Cat,07-16-01,Prescott,Tabby,Tri,M,Y,5747,in@nibhenimgravida.ca,07-19-2002,Mara,,06.04.17,Expired
Wylie,4583,Hinton,139,Fance Place,,City A,J8R 6Y8,,1-121-870-1476,,CAT,12-16-04,Colleen,Tabby,Tan,No,Intact,9223,urna.Nullam@lobortis.org,10-02-2018,Lane,No,12.09.96,Moved
Jemima,4673,Bradford,156,Real St,05-Jan,City a,J9Y 6K7,,1-352-821-0565,1-744-217-0055,d,03-29-81,Fulton,Tabby,Cat,F,,1960,enim.consequat.purus@parturient.org,05-13-2016,Tobias,Expired,04.14.13,A
Isadora,3432,Harding,29,Brampton Street,,A,N8S 6B5,ONTARIO,430-7440,,CAT,2002-02-13,Liberty,German Shepherd,Tri,Spayed,Y,5512,sed.tortor@sodaleselit.ca,01-21-2019,Carlos,,11.18.97,A
Azalia,5139,Abbott,178,Real St,A,B,P7L 8N8,QC,408-0955,722-5203,c,07-24-03,Logan,Shih tzu,"Black/tan""""",M,Intact,1742,pharetra@enim.ca,11-01-2001,Connor,,03.08.11,A
Zelda,2579,Reeves,148,Real St,,a,T5W 1T6,,175-2930,1-704-832-2191,Cat,08-18-93,Alden,Persian,Tan,M,Neutered,5753,at.risus.Nunc@vitaeorci.edu,07-22-2006,Abigail,,01.06.06,A
Eaton,9618,Blair,39,Real St,D,City b,P8Y 6G1,ONTARIO,(899) 704-7712,,Cat,05-23-11,Veronica,Persian,No,M,Spayed,4831,quam.Curabitur.vel@insodaleselit.edu,10-13-2014,Jessamine,,09.02.03,A
Xandra,5878,Vega,43,Real St,,a,M5A 0Z4,,1-132-348-2457,,Dog,2009-08-07,Bert,Persian,Tri,M,No,2473,non@semper.org,01-21-2017,Macy,,03.25.06,A
Eleanor,1099,Harris,169,Brampton Street,05-Jan,City A,A9Y 5N3,NB,936-9041,1-150-324-9185,C,2006-10-14,Ora,Yorkie,Cat,N/A,S,9253,Integer.id.magna@tinciduntneque.co.uk,07-04-2001,Ronan,,02.14.10,A
Wyatt,5789,Holloway,168,Real St,B,CITY B,N9V 0V5,,Yes,1-465-512-0095,CAT,03-29-09,Xavier,Aust Shepherd,No,Male,Neuter,3574,Quisque.nonummy@iaculisodio.co.uk,04-29-2012,Alvin,,07.05.94,Removed
Ignatius,1448,Crosby,50,Brampton Street,,sity A,L2N 0Z3,,(626) 237-5632 sometimes 123-456-7890,149-2493,c,2001-06-10,Armand,German Shepherd,Purple,Female,Neutered,2316,dui.nec@ornareegestasligula.ca,10-08-2008,Barbara,,03.18.97,A
Mufutau,4077,Miller,18,Real St,,a,N2P 7K0,ON,1-477-689-9333,751-0396,D,11-10-91,Hyacinth,German Shepherd,,Female,Yes,5368,nec.quam.Curabitur@ornareplaceratorci.com,08-16-2008,Dane,,10.11.06,S
Cassady,9803,Witt,104,Fance Place,D,City A,G9C 1J2,,(211) 142-0623,,d,04-16-97,Cassady,German Shepherd,Blue,Female,Intact,5387,Etiam.laoreet.libero@inconsequat.ca,11-17-2014,Claire,,03.23.18,Moved
Leslie,8741,Ramos,99,Brampton Street,,city,E0A 9K5,NB,1-858-319-8706,,d,02-26-03,Tyler,German Shepherd,Cat,Female,N,5446,vulputate@ipsumPhasellusvitae.co.uk,11-01-2005,Darius,Yes,12.03.00,S
Rigel,8650,Douglas,91,Brampton Street,,CITY A,H4Y 3Z7,ONTARIO,(576) 831-2090,,D,01-19-11,Emery,German Shepherd,Purple,N/A,Intact,4634,habitant.morbi.tristique@enimMaurisquis.com,08-23-2015,Ethan,,11.20.08,A
Brendan,3683,Jennings,78,Fance Place,A,CITY A,P8J 1P7,,(875) 197-9235,,DOG,06-22-14,Zephr,Tabby,Blue,Fem,Spayed,9067,Nunc.lectus@vel.net,10-07-2004,Reagan,,05.30.15,A
Darrel,5304,Sears,177,Fance Place,,cit b,H6W 3J1,,1-141-885-8041,,DOG,2001-09-10,Dane,Yorkie,Blue,Neutered,S,8935,at@CraspellentesqueSed.edu,02-03-2012,Britanney,,03.05.09,A
Flynn,5395,Johns,10,Fance Place,,a,H0B 3V8,QC,148-8978,(715) 480-3558,Dog,03-20-05,Latifah,Shepherd,Cream,Male,Y,9930,ante@sapienmolestieorci.com,10-03-2002,Amity,,01.03.98,A
Ivy,6134,Weiss,8,Real St,,CITY A,B7W 6K7,ON,525-8218,,c,05-27-07,Jocelyn,Maltese,Black/tan,F,Neuter,8047,tincidunt.aliquam.arcu@lectusa.edu,06-24-2006,Talon,No,06.13.02,A
Price,6682,Merrill,27,Fance Place,,city,L1R 9C7,,759-4998,121-1536,d,11-20-81,Maia,Maltese,No,Mal,Yes,2734,lectus@eratsemper.org,09-15-2019,Randall,,10.16.18,A
Eaton,6111,Bridges,102,Real St,05-Jan,CITY B,M2Z 7G6,ONTARIO,(609) 113-1053,,Dog,12-14-96,Dale,Mix,Purple,F,N,1554,a.ultricies@antelectusconvallis.org,08-06-2001,Cheryl,,09.28.14,A
Eaton,6111,Bridges,102,Real St,06-Jan,CITY B,M2Z 7G7,ONTARIO,(609) 113-1054,,Dog,12-15-96,Dale,Mix,Purple,M,N,1554,a.ultricies@antelectusconvallis.org,09-16-2011,Raja,,05.29.98,A
Beau,1042,Allen,23,Real St,,CITY A,C0G 0V8,QC,1-939-808-4397,,Dog,08-31-93,Rhea,Mix,Color,Female,N,2658,"velit.eu@blandit.com; ""Testbad:""@eg/com",10-06-2013,Kennan,,02.28.99,A
Timothy,6605,Forbes,10,Real St,,CITY A,M4S 3R2,CA,(757) 181-2313,,CAT,05-04-98,Elijah,Mix,Mix,M,Neuter,6810,diam.vel.arcu@metusIn.co.uk,07-14-2001,Flynn,,08.19.00,Active
Fletcher,8025,Mills,88,Fance Place,,cit b,J7X 3T7,,861-4860,595-6319,Dog,2008-04-11,Idola,Mix,No,Mal,Y,1527,mollis.nec.cursus@consequatenim.org,09-17-2019,Nerea,,11.08.15,R
Omar,4706,Willis,1,Brampton Street,,cite b,V8E 2R1,,1-512-310-9943,1-102-525-9201,D,06-21-91,Callum,Persian,No,Spayed,No,2297,sollicitudin.adipiscing@natoquepenatibus.com,11-06-2006,Lane,,12.21.06,A
Leonard,4439,Burris,151,Brampton Street,,city,M2V 5N9,,1-827-981-6010,362-6596,Yes,02-28-87,Blake,Yes,Black/tan,M,Neutered,7035,vitae.odio@enimnisl.edu,10-08-2016,Eric,,06.07.16,A
Joshua,4537,Brooks,183,Fance Place,,cite b,B4C 1M7,,(894) 894-3130,,D,2003-07-11,Jillian,Mix,Tri,Dog,,6579,mus.Aenean.eget@feugiat.com,05-12-2012,Erin,,09.21.16,A
Sean,1010,Gamble,59,Fance Place,,CITY A,M1Y 3T4,ONTARIO,1-962-307-7964,250-1094,d,2011-04-04,Kelsey,Mix,,Neutered,S,5228,In@Cras.org,12-20-2000,Katell,,02.24.92,Removed
Tanek,7901,Cooke,31,Fance Place,,cite b,G0K 1C3,,222-9809,,CAT,04-04-97,Preston,Mix,Cat,Mal,Intact,4765,elementum@lacusNullatincidunt.ca,07-24-2011,Ian,D,12.24.08,A
Joan,9367,Maxwell,14,Brampton Street,,b,V5V 8G0,,(573) 722-4881,584-6954,CAT,08-30-16,Jason,Mix,,Spayed,Yes,9808,malesuada.vel@purusaccumsan.org,09-19-2003,Gabriel,,10.18.18,R
Amaya,7043,Trevino,175,Real St,A,City a,T2Y 4K0,,(913) 865-6015,(136) 628-6727,Dog,07-26-10,"Kyle """"",Yes,No,N/A,Intact,7282,ipsum@nullaante.org,10-22-2017,Cruz,,04.29.15,R
Elliott,3481,Shields,83,Fance Place,,b,N4E 7B8,CA,1-784-442-4514,,Yes,09-12-79,September,Mix,Black,Female,No,8144,faucibus@lobortisultrices.net,10-29-2011,Barrett,,03.15.93,Removed
Tate,7067,Dejesus,66,Fance Place,A,a,R3T 7K1,,1-446-186-2666,,dog,06-16-80,Brenden,Persian,Black/tan,Mal,Neutered,5533,iaculis.aliquet.diam@hendreritconsectetuer.com,12-27-2006,Cain,,09.03.05,A
Travis,6365,Robinson,113,Fance Place,,CITY B,S7A 7H7,,(474) 513-8318,1-507-704-4175,DOG,08-26-88,Brennan,Pom,Tri,Neutered,Y,3866,suscipit@pretiumet.net,04-04-2018,Noah,,06.24.05,A
Montana,8828,Fernandez,139,Brampton Street,,a,C9B 6E9,,647-3250,1-216-240-6700,d,05-13-85,Camilla,Pom,Purple,Male,,2727,urna.Ut@Nam.co.uk;,08-19-2017,Amir,,01.20.93,A
George,6078,Hensley,192,Real St,,a,X8A 8J5,NB,(285) 623-1828,,d,09-20-98,Daryl,Cat,,F,N,8619,Sed@justoPraesentluctus.co.uk,02-20-2016,Laurel,,01.08.06,A
Keaton,5325,Donaldson,120,Fance Place,A,city,P4S 5A9,,1-931-476-6401,,z,2009-07-04,Sonia,Maltese,Mix,Female,Neutered,9096,malesuada.fames@quismassa.net,07-28-2007,Jillian,,11.30.09,A
Acton,3853,Roberson,77,Fance Place,,b,A9J 6T4,,1-417-269-4743,1-633-190-4912,Dog,10-28-99,Miriam,Maltese,Cat,F,Y,9414,at@elit.co.uk,08-13-2003,Demetria,,06.09.16,S
Pascale,2793,Holloway,25,Fance Place,A,B,A5N 1X6,ONTARIO,538-2609,,Cat,10-25-05,Natalie,Maltese,,F,No,4084,ornare.libero@lectusconvallis.ca,12-02-2007,Fulton,,12.02.01,Active
Harriet,5984,Alvarado,158,Real St,D,City A,K1K 6S2,ON,1-494-313-7445,1-302-713-4726,Cat,03-18-86,Violet,Terrier,Tri,Fem,Spayed,9963,purus.Maecenas@fringillacursuspurus.co.uk,10-18-2017,Emerald,,05.12.96,Moved
Orson,6533,Savage,25,Fance Place,C,sity A,M8Z 9T9,QC,593-9553,(682) 607-1880,Yes,12-01-95,Lana,Persian,Black/tan,F,Spayed,9583,augue@ut.org,11-10-2004,Garth,,06.28.00,Active
Quynn,2150,Becker,25,Real St,,cite b,S0S 9Y3,,(907) 729-2772,(153) 926-7980,Yes,05-25-93,Ulla,Mix,Tan,F,Spayed,3359,magna.a@molestiedapibus.co.uk,06-05-2017,Uriah,,12.11.94,Expired
Keely,3835,Mcconnell,148,Real St,05-Jan,City b,B8V 9B0,CA,(249) 932-2233,1-838-418-8504,D,01-05-85,Mannix,Poodle,Color,M,Intact,8073,ligula.eu.enim@rutrum.com,02-28-2014,Vernon,,07.16.07,A
Kaseem,5082,Hawkins,103,Real St,A,cit b,B2E 0Z0,Ontario,218-3024,,Dog,04-18-93,Ciaran,Poodle,No,M,Intact,4291,dolor.dolor.tempus@Sed.ca,09-09-2002,Kameko,,07.16.95,Moved
Christopher,2799,Erickson,173,Real St,,CITY B,R2W 5Z2,,1-473-470-9272,1-569-800-6920,Cat,09-14-12,Cyrus,Terrier,Black/tan,Male,No,7337,felis.purus@idrisus.org,06-14-2018,Octavius,,06.11.04,A
Yen,7361,Mayer,14,Fance Place,,CITY B,V1E 7Y1,QC,215-5401,1-949-102-4574,,12-21-95,Holly,Terrier,No,F,Neutered,4691,Suspendisse@commodoauctor.net,03-21-2005,Shoshana,,04.27.13,Active
Chastity,1626,Sellers,96,Fance Place,,B,G4J 3E1,CA,968-5146,(837) 150-7412,Dog,12-05-89,Gabriel,Maltese,Cream,Dog,No,9762,tempor.arcu.Vestibulum@aultriciesadipiscing.com,02-21-2005,Tanek,,06.22.99,A
Cedric,7493,Alston,43,Brampton Street,,b,M6X 4L1,,(647) 929-9804,1-536-582-9199,Dog,06-09-85,Ray,Tabby,Cream,F,Y,8019,aliquam.eros@miacmattis.ca,09-07-2015,Slade,,01.26.17,Active
Cedric,7493,Alston,43,Brampton Street,,b,K7H 0R8,,(647) 929-9805,1-536-582-9200,Dog,04-09-97,Cameron,Tabby,Orange,F,Yes,1700,aliquam.eros@miacmattis.ca,04-11-2008,Demetria,Expired,08.13.06,A
Ryan,1939,Reyes,187,Real St,,sity A,N0M 1M7,,(214) 831-4434,(303) 591-5080,d,10-22-09,Frances,Tabby,White,F,S,6415,eu@nuncQuisque.co.uk,06-28-2016,Jin,,03.25.12,Removed
Randall,1763,Cain,63,Brampton Street,,city,M1J 8C9,,(765) 660-9424,(413) 627-5239,DOG,09-20-88,Mia,Terrier,Black/tan,Fem,No,1577,Aliquam@sem.edu,07-01-2018,Robin,,12.17.94,A
Jermaine,6113,Buchanan,179,Real St,C,cite b,,,1-471-738-3995,256-4939,d,2003-02-08,Hu,Terrier,Blue,Male,Yes,4281,vestibulum@in.com,09-13-2009,Martena,,04.26.94,A
Alexis,3061,Hudson,30,Fance Place,B,CITY B,B4X 8R1,QC,1-823-849-7929,,no,07-04-97,"Winter ""tazer face""",Terrier,Orange,F,Y,4023,,02-01-2013,Burke,,07.29.13,Removed
Edan,2060,Fox,123,Fance Place,,City A,M2H 8Z2,NB,1-973-440-3445,(722) 474-9329,CAT,12-15-88,Jelani,Terrier,,Dog,S,1489,arcu.Vivamus.sit@Sedetlibero.ca,07-22-2003,Garrett,,09.22.00,Active
Neil,7834,Steele,192,Brampton Street,C,City a,H1C 5K4,Ontario,(922) 530-5251,,no,12-15-81,Erasmus,Terrier,No,Male,Neutered,3616,amet@dolorsitamet.org,08-26-2010,Shoshana,,01.11.03,A
Imani,6061,Fletcher,94,Fance Place,,CITY A,E4E 8Z7,CA,529-9087,(897) 628-5897,no,2003-04-09,Evan,Pom,Orange,M,N,6188,urna.suscipit.nonummy@estarcuac.com,08-15-2004,Brittany,,05.09.07,S
Erich,6198,Salazar,109,Fance Place,,a,E0X 1C7,,502-3289,(869) 905-4949,Dog,03-17-16,Micah,Tabby,White,F,S,5601,non.quam@tincidunt.net,03-30-2003,Amy,D,02.14.96,Removed
Gretchen,7309,Patel,55,Brampton Street,,A,J7M 2A8,,(798) 664-9913,(934) 872-3545,c,11-08-96,Kathleen,Tabby,Mix,Y,Neuter,2966,scelerisque@Nuncsollicitudincommodo.com,10-05-2017,Perry,,04.16.00,Active
Ivy,6134,Weiss,8,Real St,,CITY A,Y7T 8Z2,ON,525-8218,,DOG,06-12-98,Kadeem,Shih tzu,Purple,Female,N,6016,Quisque.tincidunt@non.co.uk,12-07-2001,Thomas,,09.04.16,A
Ria,4128,Sosa,187,Real St,,a,M3T 0W1,,546-8543,(888) 980-0091,Yes,02-03-91,Malik,Shih tzu,Blue,Female,N,1181,felis.purus@lobortisaugue.co.uk,09-25-2002,Serina,,07.14.07,Expired
Chadwick,5190,Ayala,103,Real St,D,city,A4B 6C7,,413-5487,922-4381,C,2005-02-11,Rhoda,Shih tzu,No,M,N,3072,sapien@loremutaliquam.com,07-23-2006,Armand,,03.04.05,S
Allistair,7998,Franklin,157,Brampton Street,,A,B6V 3B5,ONTARIO,879-8779,,d,06-24-97,Jason,Cat,Mix,M,S,4329,magnis.dis@tempus.edu,07-29-2015,Nadine,,04.21.19,Active
Paki,2709,Williamson,7,Brampton Street,,CITY A,M6C 5R6,,599-8722,(244) 113-6382,Dog,05-09-95,Kathleen,Poodle,Color,Fem,Intact,4210,velit@rhoncusProin.net,11-21-2002,Dante,,03.28.94,A
Joan,2108,Lindsey,70,Fance Place,,city,T6X 1C3,,641-3007,,DOG,08-17-15,Asher,Poodle,Tan,F,N,4693,arcu.Aliquam.ultrices@pellentesquea.edu,06-30-2009,Amos,,03.12.01,A
