,First_Name,Customer_Number,Last_Name,Street_Number,Street_Name,Unit,City,Postal_Code,Province,Owner_Phone,Alternate_Phone,Pet_Species,Last_Renewal_date,Pet_Name,Pet_Breed,Pet_Colour,Pet_Sex,Pet_is_fixed,Tag_#,Owner_Email,Expiry_year,Sold_By,Tag_Status,Rabies_Expiry,Pet_Status
85,George,6078,Hensley,192,Real St,,A,X8A 8J5,NB,2856231828,,DOG,1998-09-20,Daryl,Cat,,F,NO,8619,Sed@justoPraesentluctus.co.uk,2016-02-20,Laurel,,2006-01-08,ACTIVE
90,Orson,6533,Savage,25,Fance Place,C,A,M8Z 9T9,QC,5939553,6826071880,,1995-12-01,Lana,Persian,BLACK/TAN,F,YES,9583,augue@ut.org,2004-11-10,Garth,,2000-06-28,ACTIVE
95,Yen,7361,Mayer,14,Fance Place,,B,V1E 7Y1,QC,2155401,19491024574,,1995-12-21,Holly,Terrier,,F,YES,4691,Suspendisse@commodoauctor.net,2005-03-21,Shoshana,,2013-04-27,ACTIVE
102,Alexis,3061,Hudson,30,Fance Place,B,B,B4X 8R1,QC,18238497929,,,1997-07-04,"Winter ""tazer face""",Terrier,ORANGE,F,YES,4023,,2013-02-01,Burke,,2013-07-29,REMOVED
103,Edan,2060,Fox,123,Fance Place,,A,M2H 8Z2,NB,19734403445,7224749329,CAT,1988-12-15,Jelani,Terrier,,,YES,1489,arcu.Vivamus.sit@Sedetlibero.ca,2003-07-22,Garrett,,2000-09-22,ACTIVE
124,Elijah,9206,Ratliff,16,Fance Place,,,M7H 4M1,ON,14836979383,19739358551,DOG,1980-09-27,Gareth,Shih tzu,PURPLE,,YES,6356,non@sociisnatoque.net,2006-07-29,Keelie,,2006-06-24,
129,Charity,9447,Hodges,70,Real St,,B,X9V 5S4,ON,2511722,3708786131,,1998-09-05,Kelsie,Mix,WHITE,M,YES,3606,erat@sed.net,2008-09-22,Drew,,2009-12-03,ACTIVE
136,Matthew,7088,Garcia,32,Real St,,A,T4H 0T1,NB,3047773551,,DOG,2014-12-21,Debra,German Shepherd,,M,YES,1827,eget.dictum.placerat@laciniamattis.com,2018-06-14,Dustin,,2010-09-13,ACTIVE
138,Xander,9953,Zimmerman,94,Real St,,,M0M 9K8,QC,3623704359,8736341089,DOG,2017-03-31,Sebastian,Persian,BLACK/TAN,,NO,3916,semper.auctor.Mauris@facilisis.ca,2012-01-28,Cody,Yes,1993-03-27,ACTIVE
142,Zoe,1659,Martin,67,Real St,,A,H0E 8N1,QC,1898492,,CAT,1982-07-01,Jessamine,Terrier,WHITE,,YES,1216,convallis@accumsan.edu,2005-05-13,Jacob,C,1993-07-20,ACTIVE
152,Deacon,4161,Kelly,106,Brampton Street,,B,V9V 6X0,QC,17579692270,3301321876,CAT,1986-02-13,Rajah,Cat,MIX,,NO,3984,Morbi.metus.Vivamus@nunc.co.uk,2015-11-06,Nichole,,2007-09-05,ACTIVE
158,Jennifer,3038,Foster,152,Real St,,,B7V 9V6,NB,17652075926,14965553418,CAT,1994-08-22,Preston,German Shepherd,ORANGE,M,NO,3601,nulla.ante.iaculis@dolor.net,2017-01-08,Beck,,1995-06-02,
166,Zahir,5759,Mckenzie,139,Brampton Street,A,,P5N 6B9,NB,3923801,13821946709,CAT,2000-10-11,Macey,Yorkie,PURPLE,F,YES,5093,mattis.Integer@Suspendissealiquetmolestie.ca,2014-06-08,Maris,,2012-05-15,ACTIVE
169,Sasha,9043,Puckett,102,Brampton Street,A,B,X1V 5C7,ON,5177110047,,CAT,2005-06-12,Kadeem,Aust Shepherd,,F,YES,4798,non.enim@vulputateeuodio.org,2014-03-28,Lara,,2002-04-01,
173,Sierra,2939,Waters,176,Fance Place,,B,B9H 1X8,NB,8491987594,,DOG,2018-10-26,Daquan,Mix,,M,YES,4768,Aliquam@dapibus.org,2016-04-17,Hayes,,1992-07-27,REMOVED
187,Sasha,9043,Puckett,102,Brampton Street,A,B,X1V 5C7,ON,5177110047,,CAT,1994-12-08,Hunter,Yorkie,ORANGE,,YES,1405,erat.Vivamus.nisi@velvenenatis.net,2008-06-01,Valentine,,1993-12-05,ACTIVE
194,Wayne,4403,Martin,190,Real St,,A,B6J 9M9,NB,1349569256,9081499000,DOG,2006-01-28,Virginia,Maltese,,M,NO,2104,,2002-09-22,Kieran,,2010-06-01,REMOVED
197,Jonas,5173,Malone,77,Real St,,A,R7H 7G8,QC,13288640577,9461155902,CAT,1995-12-09,Barry,Maltese,,M,YES,1265,eu.neque.pellentesque@nonmassanon.edu,2007-11-17,Justine,,1999-09-05,ACTIVE
1,Clare,3197,Walton,8,Brampton Street,,,J1X 5P8,QC,6737848,,DOG,1995-03-23,Zenaida,Tabby,TRI,F,YES,7134,Fusce@est.ca,2013-07-03,Veda,,2013-09-07,ACTIVE
2,Emerald,4117,Miller,France,Brampton Street,,,X0N 9M1,,2546064239,11574610632,DOG,1994-05-07,Oliver,Tabby,TRI,,YES,7274,eu@Loremipsumdolor.ca,2016-02-03,Bradley,,2000-07-27,ACTIVE
3,Fleur,4519,Silva,72,Fance Place,V,A,V4Y 2Z8,,14484374140,,DOG,2009-11-15,Shelley,Tabby,ORANGE,F,YES,3765,montes.nascetur.ridiculus@habitantmorbi.com,2018-12-02,Aquila,,1994-04-11,ACTIVE
5,Meghan,9697,Horn,89,Fance Place,,A,A2B 1W6,NL,8198808,,CAT,1984-09-08,Rachel,Spaniel,,F,YES,1297,Nulla.semper.tellus@nibh.co.uk,2012-04-22,Jakeem,,2010-08-16,ACTIVE
7,Hunter,1229,Mcdowell,14,Real St,A,B,J3G 2E8,QC,5709290427,5939465143,DOG,2007-12-09,Octavius,Spaniel,BLUE,,YES,2550,amet.risus.Donec@morbitristiquesenectus.edu,2014-01-01,Kirestin,,2009-08-17,ACTIVE
8,Noelani,2777,Hensley,155,Brampton Street,,,T8M 9X6,,6295068699,,DOG,2002-11-25,Adrian,Spaniel,CREAM,,YES,8928,aliquam.adipiscing.lacus@luctussitamet.edu,2007-04-26,Owen,,1997-10-04,ACTIVE
9,Francesca,7248,Figueroa,4,Brampton Street,02-Jan,A,N3Z 1R3,,4722993,14709456819,DOG,1993-09-28,Fletcher,POOGLE,BLUE,F,YES,7939,laoreet.posuere@utaliquamiaculis.ca,2015-12-07,Rylee,,2016-07-25,ACTIVE
12,Barry,6254,Webb,126,Fance Place,,A,B6P 2T6,,8434374966,3082377766,DOG,2007-07-26,Zachary,Malamute,BLUE,F,NO,2322,faucibus.Morbi.vehicula@imperdiet.com,2004-03-28,Dillon,,2010-08-22,ACTIVE
17,David,1559,Ross,120,Real St,,B,K0S 6N7,,15196125421,4589673691,,2004-02-03,Zelda,Maltese,MIX,M,YES,2259,eget.volutpat@ametorciUt.org or eget@test.example.com,2006-09-19,Ramona,,2012-11-04,ACTIVE
19,Xena,1913,Cruz,196,Fance Place,,B,G2C 6G4,QC,7939115,,DOG,1998-04-21,Rashad,Cat,TAN,F,,9773,enim@consectetuer.co.uk,2011-07-22,Noelle,,2016-07-25,REMOVED
20,Tashya,6837,Rogers,38,Real St,,B,L7E 7B9,ON,6079256,3807184407,CAT,1993-08-23,Colby,Shih tzu,,M,YES,4054,rutrum@famesac.org,2001-04-22,Brendan,,1994-10-20,ACTIVE
21,Whoopi,1445,Golden,83,Real St,,B,R4A 7A2,MB,4815273,9702764,DOG,1996-09-11,Blythe,German Shepherd,TRI,,NO,5526,odio.Etiam@utsem.ca,2003-03-16,William,,2015-06-25,ACTIVE
23,Wesley,8128,Ratliff,20,Real St,05-Jan,A,V2G 3K2,BC,9615315,6781429,CAT,1996-08-07,Matthew,Malamute,BLUE,F,,3168,elit.Etiam.laoreet@vel.net,2004-08-09,Shoshana,,2005-05-02,ACTIVE
24,Adam,8242,Booth,136,Real St,,A,V1X 4S0,BC,8437177,8300301,CAT,2005-09-19,Christine,Malamute,BLUE,,YES,9111,elit@velitCraslorem.co.uk,2013-12-16,Kay,,2016-08-12,ACTIVE
26,Quentin,8855,Cooke,86,Brampton Street,,B,L8H 6L4,ON,6155821,6123201,CAT,1984-05-14,Porter,Shih tzu,,,YES,9780,tristique.aliquet@urna.edu,2017-10-26,Jade,,2018-04-17,ACTIVE
28,Guy,6998,Duke,157,Real St,A,,P6C 5B6,ON,19791826734,18717332072,DOG,2012-05-16,Martina,Maltese,,F,NO,8568,magna.Cras.convallis@AeneanmassaInteger.org;,2017-03-03,Odette,,2001-01-15,REMOVED
29,Gail,7009,Walter,180,Brampton Street,,A,R6P 3X7,,5987652194,8689744644,CAT,1990-10-09,Dolan,Malamute,BLACK/TAN,M,YES,3693,Etiam@sedpedenec.net,2003-09-22,Hiram,,2010-08-13,ACTIVE
30,Gail,7009,Walter,180,Brampton Street,,A,R6P 3X8,,5987652195,8689744645,CAT,1989-02-09,Rhona,Shih tzu,BLACK/TAN,M,YES,5677,Etiam@sedpedenec.net,2007-04-05,Quinn,,2009-11-26,REMOVED
31,Gail,7009,Walter,180,Brampton Street,,A,R6P 3X9,,5987652196,8689744646,,2005-12-17,"Reece ""Banana""",Shih tzu,,F,YES,5342,Etiam@sedpedenec.net,2000-09-26,Arthur,,2007-12-30,ACTIVE
32,Ulla,5187,Hicks,120,Real St,02-Jan,B,B5Y 4A1,,18087762445,7102671,CAT,1991-06-10,Reece,Shih tzu,,,YES,8160,per@arcuVestibulum.com,2004-10-26,Ramona,D,1993-12-14,ACTIVE
33,Bo,3269,Marshall,64,Real St,05-Jan,A,V8V 9V2,BC,2133181,,,2010-11-25,Lyle,Shih tzu,PURPLE,F,NO,4936,In.condimentum.Donec@famesacturpis.co.uk,2003-05-28,Maya,,2017-04-22,ACTIVE
34,Quemby,7248,Gill,162,Real St,,A,C1X 0P7,,1646312,7016110,DOG,2014-07-19,Karen,Shih tzu,,,YES,4232,consequat@purusmauris.co.uk,2016-01-21,George,,1998-03-02,
37,Maxwell,4186,Edwards,52,Real St,C,A,X9H 6E8,,16469514967,,,2011-01-13,Kennan,POOGLE,,,YES,8877,vitae@odiosagittissemper.edu,2016-10-06,Kaseem,,1994-07-24,REMOVED
40,Shoshana,9784,Moran,195,Real St,,A,T0X 3N8,,4532757523,9809212,CAT,1991-06-29,India,Mix,,F,YES,7706,elit.pretium.et@feugiatplacerat.com,2004-10-11,Moses,,2006-07-10,REMOVED
42,Faith,2202,Moon,47,Brampton Street,A,B,B1K 0N2,NS,17977203203,,DOG,2001-01-12,Wylie,Aust Shepherd,BLACK,,YES,4145,in.faucibus@Fuscealiquetmagna.ca,2010-01-11,Brock,,2008-01-26,ACTIVE
43,Phillip,6047,Vega,166,Real St,V,B,T5K 6N8,AB,4720843,,,2001-04-21,Unity,Aust Shepherd,BLACK/TAN,M,YES,8292,ante.ipsum@ante.ca,2015-03-27,Quemby,,2018-05-02,
44,Pamela,5808,Ortiz,95,Brampton Street,,B,V1E 8N2,BC,1671654766,5939708,,1988-12-19,Dane,Mix,,,YES,5849,ligula.Donec.luctus@nonummyutmolestie.edu,2005-03-06,Jasper,,2001-04-10,
45,Kennedy,6148,Pennington,50,Brampton Street,,B,H7E 6E6,QC,1683191,1652803,DOG,1999-03-16,Rama,Cat,,M,YES,8136,tempor@magnisdis.net,2010-12-21,Octavia,,2007-08-22,ACTIVE
46,Channing,7174,Bennett,155,Brampton Street,,A,K4M 1T0,ON,16359520455,9171147262,CAT,2008-09-18,Lyle,Terrier,,,YES,2530,Sed.eu@viverraDonec.ca,2003-10-31,Willow,,2001-03-27,ACTIVE
47,Zelenia,5032,Mooney,26,Brampton Street,,A,N2J 5K0,ON,4222227087,,CAT,1987-03-02,Jemima,Terrier,,,YES,9148,a@orci.edu and a@sheely.net,2009-08-03,Edward,,1995-02-04,ACTIVE
48,Thaddeus,4100,Ward,3,Real St,,B,B9H 3Y9,,16621415831,,CAT,1991-02-17,Stacey,Tabby,TAN,M,YES,7073,mauris.elit@turpisIncondimentum.edu,2011-09-27,Kai,,2016-09-25,ACTIVE
49,Zoe,2379,Parsons,157,Fance Place,,,K1N 9Y2,ON,15374952779,,CAT,2001-07-16,Prescott,Tabby,TRI,M,YES,5747,in@nibhenimgravida.ca,2002-07-19,Mara,,2017-06-04,REMOVED
50,Wylie,4583,Hinton,139,Fance Place,,A,J8R 6Y8,QC,11218701476,,CAT,2004-12-16,Colleen,Tabby,TAN,,NO,9223,urna.Nullam@lobortis.org,2018-10-02,Lane,No,1996-12-09,REMOVED
51,Jemima,4673,Bradford,156,Real St,05-Jan,A,J9Y 6K7,QC,13528210565,17442170055,DOG,1981-03-29,Fulton,Tabby,,F,,1960,enim.consequat.purus@parturient.org,2016-05-13,Tobias,Expired,2013-04-14,ACTIVE
52,Isadora,3432,Harding,29,Brampton Street,,A,N8S 6B5,ON,4307440,,CAT,2002-02-13,Liberty,German Shepherd,TRI,,YES,5512,sed.tortor@sodaleselit.ca,2019-01-21,Carlos,,1997-11-18,ACTIVE
55,Eaton,9618,Blair,39,Real St,D,B,P8Y 6G1,,8997047712,,CAT,2011-05-23,Veronica,Persian,,M,YES,4831,quam.Curabitur.vel@insodaleselit.edu,2014-10-13,Jessamine,,2003-09-02,ACTIVE
58,Wyatt,5789,Holloway,168,Real St,B,B,N9V 0V5,ON,,14655120095,CAT,2009-03-29,Xavier,Aust Shepherd,,M,YES,3574,Quisque.nonummy@iaculisodio.co.uk,2012-04-29,Alvin,,1994-07-05,REMOVED
63,Rigel,8650,Douglas,91,Brampton Street,,A,H4Y 3Z7,QC,5768312090,,DOG,2011-01-19,Emery,German Shepherd,PURPLE,,NO,4634,habitant.morbi.tristique@enimMaurisquis.com,2015-08-23,Ethan,,2008-11-20,ACTIVE
64,Brendan,3683,Jennings,78,Fance Place,A,A,P8J 1P7,,8751979235,,DOG,2014-06-22,Zephr,Tabby,BLUE,F,YES,9067,Nunc.lectus@vel.net,2004-10-07,Reagan,,2015-05-30,ACTIVE
65,Darrel,5304,Sears,177,Fance Place,,B,H6W 3J1,,11418858041,,DOG,2001-09-10,Dane,Yorkie,BLUE,,YES,8935,at@CraspellentesqueSed.edu,2012-02-03,Britanney,,2009-03-05,ACTIVE
68,Price,6682,Merrill,27,Fance Place,,,L1R 9C7,ON,7594998,1211536,DOG,1981-11-20,Maia,Maltese,,M,YES,2734,lectus@eratsemper.org,2019-09-15,Randall,,2018-10-16,ACTIVE
69,Eaton,6111,Bridges,102,Real St,05-Jan,B,M2Z 7G6,,6091131053,,DOG,1996-12-14,Dale,Mix,PURPLE,F,NO,1554,a.ultricies@antelectusconvallis.org,2001-08-06,Cheryl,,2014-09-28,ACTIVE
70,Eaton,6111,Bridges,102,Real St,06-Jan,B,M2Z 7G7,,6091131054,,DOG,1996-12-15,Dale,Mix,PURPLE,M,NO,1554,a.ultricies@antelectusconvallis.org,2011-09-16,Raja,,1998-05-29,ACTIVE
73,Fletcher,8025,Mills,88,Fance Place,,B,J7X 3T7,QC,8614860,5956319,DOG,2008-04-11,Idola,Mix,,M,YES,1527,mollis.nec.cursus@consequatenim.org,2019-09-17,Nerea,,2015-11-08,REMOVED
74,Omar,4706,Willis,1,Brampton Street,,B,V8E 2R1,,15123109943,11025259201,DOG,1991-06-21,Callum,Persian,,,NO,2297,sollicitudin.adipiscing@natoquepenatibus.com,2006-11-06,Lane,,2006-12-21,ACTIVE
75,Leonard,4439,Burris,151,Brampton Street,,,M2V 5N9,,18279816010,3626596,,1987-02-28,Blake,Yes,BLACK/TAN,M,YES,7035,vitae.odio@enimnisl.edu,2016-10-08,Eric,,2016-06-07,ACTIVE
76,Joshua,4537,Brooks,183,Fance Place,,B,B4C 1M7,NS,8948943130,,DOG,2003-07-11,Jillian,Mix,TRI,,,6579,mus.Aenean.eget@feugiat.com,2012-05-12,Erin,,2016-09-21,ACTIVE
77,Sean,1010,Gamble,59,Fance Place,,A,M1Y 3T4,,19623077964,2501094,DOG,2011-04-04,Kelsey,Mix,,,YES,5228,In@Cras.org,2000-12-20,Katell,,1992-02-24,REMOVED
78,Tanek,7901,Cooke,31,Fance Place,,B,G0K 1C3,QC,2229809,,CAT,1997-04-04,Preston,Mix,,M,NO,4765,elementum@lacusNullatincidunt.ca,2011-07-24,Ian,D,2008-12-24,ACTIVE
79,Joan,9367,Maxwell,14,Brampton Street,,B,V5V 8G0,BC,5737224881,5846954,CAT,2016-08-30,Jason,Mix,,,YES,9808,malesuada.vel@purusaccumsan.org,2003-09-19,Gabriel,,2018-10-18,REMOVED
80,Amaya,7043,Trevino,175,Real St,A,A,T2Y 4K0,AB,9138656015,1366286727,DOG,2010-07-26,"Kyle """"",Yes,,,NO,7282,ipsum@nullaante.org,2017-10-22,Cruz,,2015-04-29,REMOVED
81,Elliott,3481,Shields,83,Fance Place,,B,N4E 7B8,,17844424514,,,1979-09-12,September,Mix,BLACK,F,NO,8144,faucibus@lobortisultrices.net,2011-10-29,Barrett,,1993-03-15,REMOVED
83,Travis,6365,Robinson,113,Fance Place,,B,S7A 7H7,,4745138318,15077044175,DOG,1988-08-26,Brennan,Pom,TRI,,YES,3866,suscipit@pretiumet.net,2018-04-04,Noah,,2005-06-24,ACTIVE
84,Montana,8828,Fernandez,139,Brampton Street,,A,C9B 6E9,,6473250,12162406700,DOG,1985-05-13,Camilla,Pom,PURPLE,M,,2727,urna.Ut@Nam.co.uk;,2017-08-19,Amir,,1993-01-20,ACTIVE
86,Keaton,5325,Donaldson,120,Fance Place,A,,P4S 5A9,,19314766401,,,2009-07-04,Sonia,Maltese,MIX,F,YES,9096,malesuada.fames@quismassa.net,2007-07-28,Jillian,,2009-11-30,ACTIVE
87,Acton,3853,Roberson,77,Fance Place,,B,A9J 6T4,,14172694743,16331904912,DOG,1999-10-28,Miriam,Maltese,,F,YES,9414,at@elit.co.uk,2003-08-13,Demetria,,2016-06-09,
88,Pascale,2793,Holloway,25,Fance Place,A,B,A5N 1X6,,5382609,,CAT,2005-10-25,Natalie,Maltese,,F,NO,4084,ornare.libero@lectusconvallis.ca,2007-12-02,Fulton,,2001-12-02,ACTIVE
91,Quynn,2150,Becker,25,Real St,,B,S0S 9Y3,,9077292772,1539267980,,1993-05-25,Ulla,Mix,TAN,F,YES,3359,magna.a@molestiedapibus.co.uk,2017-06-05,Uriah,,1994-12-11,REMOVED
92,Keely,3835,Mcconnell,148,Real St,05-Jan,B,B8V 9B0,,2499322233,18384188504,DOG,1985-01-05,Mannix,Poodle,,M,NO,8073,ligula.eu.enim@rutrum.com,2014-02-28,Vernon,,2007-07-16,ACTIVE
93,Kaseem,5082,Hawkins,103,Real St,A,B,B2E 0Z0,NS,2183024,,DOG,1993-04-18,Ciaran,Poodle,,M,NO,4291,dolor.dolor.tempus@Sed.ca,2002-09-09,Kameko,,1995-07-16,REMOVED
96,Chastity,1626,Sellers,96,Fance Place,,B,G4J 3E1,,9685146,8371507412,DOG,1989-12-05,Gabriel,Maltese,CREAM,,NO,9762,tempor.arcu.Vestibulum@aultriciesadipiscing.com,2005-02-21,Tanek,,1999-06-22,ACTIVE
97,Cedric,7493,Alston,43,Brampton Street,,B,M6X 4L1,,6479299804,15365829199,DOG,1985-06-09,Ray,Tabby,CREAM,F,YES,8019,aliquam.eros@miacmattis.ca,2015-09-07,Slade,,2017-01-26,ACTIVE
100,Randall,1763,Cain,63,Brampton Street,,,M1J 8C9,ON,7656609424,4136275239,DOG,1988-09-20,Mia,Terrier,BLACK/TAN,F,NO,1577,Aliquam@sem.edu,2018-07-01,Robin,,1994-12-17,ACTIVE
101,Jermaine,6113,Buchanan,179,Real St,C,B,,,14717383995,2564939,DOG,2003-02-08,Hu,Terrier,BLUE,M,YES,4281,vestibulum@in.com,2009-09-13,Martena,,1994-04-26,ACTIVE
104,Neil,7834,Steele,192,Brampton Street,C,A,H1C 5K4,QC,9225305251,,,1981-12-15,Erasmus,Terrier,,M,YES,3616,amet@dolorsitamet.org,2010-08-26,Shoshana,,2003-01-11,ACTIVE
105,Imani,6061,Fletcher,94,Fance Place,,A,E4E 8Z7,NB,5299087,8976285897,,2003-04-09,Evan,Pom,ORANGE,M,NO,6188,urna.suscipit.nonummy@estarcuac.com,2004-08-15,Brittany,,2007-05-09,
106,Erich,6198,Salazar,109,Fance Place,,A,E0X 1C7,,5023289,8699054949,DOG,2016-03-17,Micah,Tabby,WHITE,F,YES,5601,non.quam@tincidunt.net,2003-03-30,Amy,D,1996-02-14,REMOVED
107,Gretchen,7309,Patel,55,Brampton Street,,A,J7M 2A8,QC,7986649913,9348723545,CAT,1996-11-08,Kathleen,Tabby,MIX,,YES,2966,scelerisque@Nuncsollicitudincommodo.com,2017-10-05,Perry,,2000-04-16,ACTIVE
109,Ria,4128,Sosa,187,Real St,,A,M3T 0W1,,5468543,8889800091,,1991-02-03,Malik,Shih tzu,BLUE,F,NO,1181,felis.purus@lobortisaugue.co.uk,2002-09-25,Serina,,2007-07-14,REMOVED
110,Chadwick,5190,Ayala,103,Real St,D,,A4B 6C7,,4135487,9224381,CAT,2005-02-11,Rhoda,Shih tzu,,M,NO,3072,sapien@loremutaliquam.com,2006-07-23,Armand,,2005-03-04,
111,Allistair,7998,Franklin,157,Brampton Street,,A,B6V 3B5,,8798779,,DOG,1997-06-24,Jason,Cat,MIX,M,YES,4329,magnis.dis@tempus.edu,2015-07-29,Nadine,,2019-04-21,ACTIVE
112,Paki,2709,Williamson,7,Brampton Street,,A,M6C 5R6,ON,5998722,2441136382,DOG,1995-05-09,Kathleen,Poodle,,F,NO,4210,velit@rhoncusProin.net,2002-11-21,Dante,,1994-03-28,ACTIVE
113,Joan,2108,Lindsey,70,Fance Place,,,T6X 1C3,AB,6413007,,DOG,2015-08-17,Asher,Poodle,TAN,F,NO,4693,arcu.Aliquam.ultrices@pellentesquea.edu,2009-06-30,Amos,,2001-03-12,ACTIVE
114,Cailin,7423,Orr,17,Real St,,B,J2V 0Y5,,9203030,,CAT,1982-04-15,Eagan,Poodle,TAN,M,YES,4685,Donec@arcu.ca,2003-02-20,Rae,,2005-07-27,REMOVED
116,McKenzie,7821,Reilly,63,Brampton Street,,A,S9L 2J1,,6263536808,6879769,CAT,2003-12-04,Dominic,Poodle,,F,YES,5365,pharetra.Quisque@sitamet.org,2017-12-12,Josiah,Canceled,1996-05-15,ACTIVE
117,Zane,8552,Daniels,89,Brampton Street,V,B,R3L 7P6,MB,1175600334,6940967,CAT,2004-04-13,Colette,Shih tzu,,,YES,9931,amet@vitaesemperegestas.com,2017-06-03,Marsden,,2000-03-28,ACTIVE
118,Wing,6539,Faulkner,123,Brampton Street,,A,B4K 6K9,,11775978702,11113589871,,1986-07-22,Adrian,Maltese,BLUE,F,NO,3274,enim@liberoestcongue.net,2003-07-29,Emerald,,1994-11-26,ACTIVE
119,Kevin,3589,Lester,117,Brampton Street,,,N3B 3A8,ON,12411110917,16415947418,DOG,1987-07-10,Kibo,Maltese,WHITE,M,NO,8671,elit.pellentesque.a@Sed.ca,2007-03-03,Francesca,,1998-01-20,ACTIVE
120,Sean,3377,Joyce,166,Fance Place,,A,X1P 7G6,,15123444421,2015318,CAT,2004-09-04,Chaney,Maltese,MIX,M,NO,9002,nisi@placerat.net,2004-04-26,Zahir,,1997-11-21,REMOVED
121,Devin,6072,Barry,129,Real St,05-Jan,B,K7C 3T4,ON,14478831477,18431444366,DOG,1992-06-06,Zena,Maltese,TRI,,NO,2360,lectus.ante.dictum@cursuspurusNullam.edu,2002-08-08,Colby,Canceled,2016-05-05,ACTIVE
122,Emma,9516,Black,87,Fance Place,,B,M3S 6T9,,7682827,,CAT,2007-09-13,Hasad,Yorkie,TAN,M,YES,3205,eu.turpis@variusultrices.net,2010-10-23,Quinn,Canceled,1998-02-13,ACTIVE
123,Risa,8162,Black,191,Fance Place,05-Jan,B,R6R 4K5,,2205561,12747509926,DOG,2017-01-31,Patience,Yorkie,,F,NO,7110,non@est.edu,2003-01-27,Raja,D,2000-12-04,REMOVED
127,Joan,2249,Kidd,11,Fance Place,A,B,Y1Z 0X2,,8158142916,,DOG,2004-08-06,Rashad,Yorkie,,M,YES,2329,lectus.quis@ornareliberoat.org,2003-12-08,Keaton,,1992-03-16,ACTIVE
130,Malik,5105,Gray,153,Brampton Street,05-Jan,A,B2H 1P2,NS,8063576,,CAT,2010-09-26,Cameran,Mix,TRI,,YES,6348,123-456-7890,2016-02-02,Martin,,1999-10-13,ACTIVE
131,Lane,5382,Finch,44,Real St,,A,V7S 5C3,BC,3664013,8991489,DOG,2017-02-18,Jasmine,Mix,BLACK,,NO,4752,et.ultrices.posuere@mauris.com,2007-05-14,Larissa,,2006-11-23,REMOVED
132,Lacy,7497,Mcbride,68,Real St,,A,P1K 8K3,,15783668990,,DOG,1980-05-17,Hannah,German Shepherd,BLUE,,NO,7925,Cras.interdum.Nunc@sapien.net,2015-02-03,Reagan,,2004-02-15,ACTIVE
134,Meredith,4520,Glenn,9,Fance Place,,A,X9B 9J7,,1550688,3434365,CAT,1984-03-05,MacKensie,Border,,M,NO,6584,nec.enim@Vestibulum.co.uk,2008-08-21,Alana,Canceled,2011-06-07,ACTIVE
